what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332467747875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332467758306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332467759893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332467760362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332467990267
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1332467997487
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1332467998675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1332467999368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1332467999995
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1332468001959
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1332468003307
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1332468006815
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1332468007662
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332468013832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332468052669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332468105699
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332468106138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332468106855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1332468128255
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1332468130846
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1332468130923
